7627454.397140526, 68.82379619771746, 106635756.8845718345, 68.2189046631811, 106859812.836371295, 68.36312266546398, 10
13556.045323191858, 41.321330121850536, 10
20086.480584390596, 43.02903849308017, 10
13334.339725861473, 41.24971515675362, 10
9071661.326840356, 69.57686828295975, 10
13868.902595366071, 41.42042098014001, 10
10922.357217081855, 40.383163760880585, 10
6691057.093116035, 68.25494735621392, 10
13242.397611152037, 41.21966623700625, 10
7675007.633965696, 68.8507881612154, 10
7615138.916551766, 68.81677830211996, 10
